POSTING DATE,TRANSACTION DATE,TAG/PLATE NUMBER,AGENCY,ACTIVITY,PLAZA ID,ENTRY TIME,ENTRY PLAZA,ENTRY LANE,EXIT TIME,EXIT PLAZA,EXIT LANE,VEHICLE TYPE CODE,AMOUNT,PREPAID,PLAN/RATE,FARE TYPE,BALANCE
01/22/2024,01/22/2024,P47SKT-NJ,MTAB&T,TOLL,24,-,-,-,13:01:56,HHB,006,31,$5.04,Y,STANDARD,N,$63.35
01/24/2024,01/22/2024,P47SKT-NJ,NYSTA,TOLL,06A,-,-,-,11:26:04,YK,04N,2L,$2.19,Y,STANDARD,N,$47.78
01/22/2024,01/22/2024,P47SKT-NJ,PANYNJ,TOLL,GWU,-,-,-,11:10:36,GWU,06,1,$13.38,Y,STANDARD,N,$49.97
01/12/2024,01/11/2024,P47SKT-NJ,MTAB&T,TOLL,27,-,-,-,23:02:45,QMT,002,31,$9.11,Y,STANDARD,N,$94.52
01/11/2024,01/11/2024,P47SKT-NJ,MTAB&T,TOLL,23,-,-,-,13:49:15,BWB,005,31,$9.11,Y,STANDARD,N,$103.63
01/18/2024,01/11/2024,P47SKT-NJ,PANYNJ,TOLL,GWU,-,-,-,13:34:35,GWU,06,1,$13.38,Y,STANDARD,N,$68.39
01/04/2024,10/11/2023,P47SKT-NJ,PANYNJ,TOLL,OBX,-,-,-,06:05:05,OBX,02,1,$14.75,Y,STANDARD,N,$421.73
01/04/2024,10/08/2023,P47SKT-NJ,MTAB&T,TOLL,30,-,-,-,01:02:12,VNB,008,31,$9.11,Y,STANDARD,N,$356.15
01/04/2024,10/07/2023,P47SKT-NJ,MTAB&T,TOLL,30,-,-,-,21:19:22,VNB,020,31,$9.11,Y,STANDARD,N,$347.04
01/04/2024,10/07/2023,P47SKT-NJ,PANYNJ,TOLL,OBX,-,-,-,21:03:01,OBX,02,1,$12.75,Y,STANDARD,N,$436.48
01/11/2024,10/06/2023,P47SKT-NJ,NYSTA,TOLL,08A,-,-,-,12:45:07,HA,02S,2L,$1.54,Y,STANDARD,N,$112.74
01/11/2024,10/06/2023,P47SKT-NJ,NYSTA,TOLL,08A,-,-,-,10:38:32,HA,02N,2L,$1.54,Y,STANDARD,N,$114.28
01/04/2024,10/05/2023,P47SKT-NJ,MTAB&T,TOLL,30,-,-,-,00:14:33,VNB,003,31,$9.11,Y,STANDARD,N,$365.26
01/04/2024,10/04/2023,P47SKT-NJ,MTAB&T,TOLL,30,-,-,-,18:25:37,VNB,020,31,$9.11,Y,STANDARD,N,$374.37
01/04/2024,10/04/2023,P47SKT-NJ,PANYNJ,TOLL,GB,-,-,-,18:10:28,GB,06,1,$14.75,Y,STANDARD,N,$449.23
01/04/2024,10/01/2023,P47SKT-NJ,MTAB&T,TOLL,30,-,-,-,03:18:13,VNB,003,31,$9.11,Y,STANDARD,N,$540.67
01/04/2024,09/30/2023,P47SKT-NJ,MTAB&T,TOLL,30,-,-,-,20:45:29,VNB,020,31,$9.11,Y,STANDARD,N,$531.56
01/04/2024,09/30/2023,P47SKT-NJ,PANYNJ,TOLL,OBX,-,-,-,20:29:20,OBX,04,1,$14.75,Y,STANDARD,N,$595.50
01/04/2024,09/29/2023,P47SKT-NJ,MTAB&T,TOLL,30,-,-,-,04:01:49,VNB,009,31,$9.11,Y,STANDARD,N,$522.45
01/04/2024,09/28/2023,P47SKT-NJ,MTAB&T,TOLL,28,-,-,-,22:21:06,HCT,014,31,$9.11,Y,STANDARD,N,$513.34
01/04/2024,09/28/2023,P47SKT-NJ,MTAB&T,TOLL,30,-,-,-,20:08:10,VNB,013,31,$9.11,Y,STANDARD,N,$504.23
01/04/2024,09/28/2023,P47SKT-NJ,PANYNJ,TOLL,OBX,-,-,-,19:46:38,OBX,04,1,$14.75,Y,STANDARD,N,$580.75
