POSTING DATE,TRANSACTION DATE,TAG/PLATE NUMBER,AGENCY,DESCRIPTION,ENTRY TIME,ENTRY PLAZA,ENTRY LANE,EXIT TIME,EXIT PLAZA,EXIT LANE,VEHICLE TYPE CODE,AMOUNT,PREPAID,PLAN/RATE,FARE TYPE,BALANCE
05/02/2024,05/01/2024,U51SUE-NJ,GSP,TOLL,,-,-,11:53:20,ASP,11n,1,($2.09),Y,BUSINESS,N,$384.44
05/02/2024,05/01/2024,H21SHK-NJ,NJTP,TOLL,,-,-,18:16:52,8  ,04w,1,($2.47),Y,BUSINESS,M,$386.53
05/02/2024,05/01/2024,U51SUE-NJ,GSP,TOLL,,-,-,16:04:55,TRV,13s,1,($1.05),Y,BUSINESS,N,$389.00
05/02/2024,05/01/2024,H18SHK-NJ,GSP,TOLL,,-,-,15:12:51,BEN,03n,1,($0.73),Y,BUSINESS,N,$390.05
05/02/2024,05/01/2024,P46SKT-NJ,GSP,TOLL,,-,-,07:02:48,ASP,11n,1,($2.09),Y,BUSINESS,N,$390.78
05/02/2024,05/02/2024,02214781093,GSP,TOLL,,-,-,00:22:16,BRS,02S,1,($0.73),Y,BUSINESS,N,$392.87
05/02/2024,04/15/2024,H17SHK-NJ,PTC,TOLL,08:37:17,BEN,2,08:53:25,FOW,8,-,($3.30),Y,BUSINESS,N,$393.60
05/02/2024,05/01/2024,02214781093,GSP,TOLL,,-,-,23:56:58,RAS,15S,1,($2.09),Y,BUSINESS,N,$396.90
05/02/2024,04/15/2024,H17SHK-NJ,PTC,TOLL,14:08:06,FOW,2,14:22:25,NES,7,-,($4.50),Y,BUSINESS,N,$398.99
05/02/2024,04/30/2024,P45SKT-NJ,GSP,TOLL,,-,-,15:07:45,ASP,11n,1,($2.09),Y,BUSINESS,N,$403.49
05/01/2024,04/28/2024,P46SKT-NJ,GSP,TOLL,,-,-,15:20:20,EOR,03s,1,($1.45),Y,BUSINESS,N,$405.58
05/01/2024,04/30/2024,P45SKT-NJ,GSP,TOLL,,-,-,15:41:19,UNI,16n,1,($2.09),Y,BUSINESS,N,$407.03
05/01/2024,05/01/2024,02214781095,GSP,TOLL,,-,-,19:22:19,BAR,08S,1,($2.09),Y,BUSINESS,N,$409.12
05/01/2024,05/01/2024,02214781100,MTAB&T,TOLL,,-,-,13:35:39,HHB,003,-,($8.25),Y,BUSINESS,N,$411.21
05/01/2024,05/01/2024,02214781100,NJTP,TOLL,,-,-,13:12:31,19W,03N,1,($1.61),Y,BUSINESS,N,$419.46
05/01/2024,05/01/2024,02214781100,NJTP,TOLL,12:02:20,11 ,06E,12:22:12,16W,06X,1,($5.74),Y,BUSINESS,N,$421.07
05/01/2024,05/01/2024,02214781100,GSP,TOLL,,-,-,11:36:53,BEN,04N,1,($0.73),Y,BUSINESS,N,$426.81
05/01/2024,04/30/2024,P45SKT-NJ,NYSTA,TOLL,,-,-,18:02:20,MCB,17S,2L,($10.94),Y,BUSINESS,N,$427.54
05/01/2024,04/30/2024,H16SHK-NJ,GSP,TOLL,,-,-,07:40:45,BAR,08s,1,($2.09),Y,BUSINESS,N,$438.48
05/01/2024,04/30/2024,P45SKT-NJ,GSP,TOLL,,-,-,14:55:48,LWN,04n,1,($0.73),Y,BUSINESS,N,$440.57
05/01/2024,05/01/2024,02214781100,GSP,TOLL,,-,-,11:41:03,ASP,12N,1,($2.09),Y,BUSINESS,N,$441.30
05/01/2024,04/30/2024,P45SKT-NJ,GSP,TOLL,,-,-,17:41:24,BER,05n,1,($2.09),Y,BUSINESS,N,$443.39
05/01/2024,04/30/2024,P45SKT-NJ,GSP,TOLL,,-,-,22:54:27,ESS,09s,1,($2.09),Y,BUSINESS,N,$445.48
05/01/2024,04/30/2024,P45SKT-NJ,GSP,TOLL,,-,-,22:38:24,PVK,06s,1,($2.09),Y,BUSINESS,N,$447.57
05/01/2024,04/30/2024,P45SKT-NJ,GSP,TOLL,,-,-,23:17:59,RAS,14s,1,($2.09),Y,BUSINESS,N,$449.66
04/30/2024,04/29/2024,P45SKT-NJ,GSP,TOLL,,-,-,18:20:47,BRN,04n,1,($0.73),Y,BUSINESS,N,$451.75
04/30/2024,04/29/2024,P45SKT-NJ,GSP,TOLL,,-,-,18:30:13,ASP,10n,1,($2.09),Y,BUSINESS,N,$452.48
04/30/2024,04/29/2024,H16SHK-NJ,GSP,TOLL,,-,-,10:41:39,BAR,07s,1,($2.09),Y,BUSINESS,N,$454.57
04/30/2024,04/30/2024,02214781100,GSP,TOLL,,-,-,06:38:53,TRV,06N,1,($1.05),Y,BUSINESS,N,$456.66
04/30/2024,04/29/2024,02214781095,DRJTBC,TOLL,00:00:00,-,-,17:35:36,T-M,01W,1,($1.50),Y,BUSINESS,N,$457.71
