POSTING DATE,TRANSACTION DATE,TAG/PLATE NUMBER,AGENCY,DESCRIPTION,ENTRY TIME,ENTRY PLAZA,ENTRY LANE,EXIT TIME,EXIT PLAZA,EXIT LANE,VEHICLE TYPE CODE,AMOUNT,PREPAID,PLAN/RATE,FARE TYPE,BALANCE
09/06/2023,09/03/2023,02214781099,NYSTA,TOLL,18:04:48,44 ,11E,18:22:05,41 ,03X,2L,($1.37),Y,BUSINESS,N,$1171.88
09/06/2023,09/03/2023,02214781099,NYSTA,TOLL,17:00:32,50 ,02E,17:32:58,47 ,11E,2L,($2.15),Y,BUSINESS,N,$1173.25
09/06/2023,09/06/2023,02214781096,NJTP,TOLL,08:15:16,10 ,13E,08:18:26,11 ,20X,1,($1.28),Y,BUSINESS,N,$1175.40
09/06/2023,09/05/2023,02214781098,MTAB&T,TOLL,,-,-,21:41:56,TNB,005,-,($11.19),Y,BUSINESS,N,$1176.68
09/06/2023,09/05/2023,02214781098,MTAB&T,TOLL,,-,-,21:15:12,TNB,003,-,($11.19),Y,BUSINESS,N,$1187.87
09/06/2023,09/06/2023,02212261422,GSP,TOLL,,-,-,07:44:51,BRS,01S,1,($0.70),Y,BUSINESS,N,$1199.06
09/06/2023,08/09/2023,Z353579-NJ,GSP,TOLL,,-,-,17:21:37,BAR,05s,1,($2.02),Y,BUSINESS,N,$1199.76
09/06/2023,08/11/2023,G53RRF-NJ,GSP,TOLL,,-,-,00:47:33,RAS,13s,1,($2.02),Y,BUSINESS,N,$1201.78
09/06/2023,09/05/2023,02214781087,GSP,TOLL,,-,-,22:31:07,LWS,01S,1,($0.70),Y,BUSINESS,N,$1203.80
09/05/2023,09/05/2023,02214781092,GSP,TOLL,,-,-,21:07:35,NGR,06N,1,($2.02),Y,BUSINESS,N,$1204.50
09/05/2023,09/05/2023,02214781092,GSP,TOLL,,-,-,20:28:10,CMY,07N,1,($2.02),Y,BUSINESS,N,$1206.52
09/05/2023,09/05/2023,02214781092,GSP,TOLL,,-,-,18:36:17,GEG,04S,1,($2.02),Y,BUSINESS,N,$1208.54
09/05/2023,09/05/2023,02212261422,GSP,TOLL,,-,-,20:02:18,LWN,01N,1,($0.70),Y,BUSINESS,N,$1210.56
09/05/2023,09/05/2023,02214781092,GSP,TOLL,,-,-,17:53:40,BAR,08S,1,($2.02),Y,BUSINESS,N,$1211.26
09/05/2023,09/05/2023,02214781092,GSP,TOLL,,-,-,14:24:31,TRV,06N,1,($1.01),Y,BUSINESS,N,$1213.28
09/05/2023,09/04/2023,P46SKT-NJ,PANYNJ,TOLL,,-,-,19:52:15,OBX,08,-,($14.75),Y,BUSINESS,N,$1214.29
09/05/2023,09/04/2023,02212261422,PANYNJ,TOLL,,-,-,19:30:54,OBX,04,-,($14.75),Y,BUSINESS,N,$1229.04
09/05/2023,09/04/2023,P46SKT-NJ,MTAB&T,TOLL,,-,-,23:01:58,VNB,007,-,($11.19),Y,BUSINESS,N,$1243.79
09/05/2023,09/05/2023,02214781096,MTAB&T,TOLL,,-,-,01:22:39,VNB,007,-,($11.19),Y,BUSINESS,N,$1254.98
09/05/2023,09/05/2023,02212261422,MTAB&T,TOLL,,-,-,00:43:06,VNB,008,-,($11.19),Y,BUSINESS,N,$1266.17
09/05/2023,09/04/2023,P46SKT-NJ,MTAB&T,TOLL,,-,-,20:09:35,VNB,015,-,($11.19),Y,BUSINESS,N,$1277.36
09/05/2023,09/04/2023,02212261422,MTAB&T,TOLL,,-,-,19:48:29,VNB,021,-,($11.19),Y,BUSINESS,N,$1288.55
09/05/2023,09/03/2023,02214781099,NYSTA,TOLL,19:24:07,41 ,02E,19:45:39,39 ,11E,2L,($1.59),Y,BUSINESS,N,$1299.74
09/05/2023,09/03/2023,02214781099,NYSTA,TOLL,17:41:31,47 ,99E,17:41:31,46 ,03E,2L,($0.83),Y,BUSINESS,N,$1301.33
09/05/2023,09/03/2023,02214781099,NYSTA,TOLL,17:50:22,46 ,99E,17:50:22,45 ,02E,2L,($0.59),Y,BUSINESS,N,$1302.16
09/05/2023,09/03/2023,02214781099,NYSTA,TOLL,17:58:48,45 ,99E,17:58:48,44 ,04E,2L,($0.20),Y,BUSINESS,N,$1302.75
09/05/2023,09/05/2023,02212261422,GSP,TOLL,,-,-,07:21:15,BRS,01S,1,($0.70),Y,BUSINESS,N,$1302.95
09/05/2023,09/05/2023,02214781096,NJTP,TOLL,01:32:43,13 ,16E,01:48:45,9  ,12X,1,($3.15),Y,BUSINESS,N,$1303.65
09/05/2023,09/05/2023,02214781099,GSP,TOLL,,-,-,00:00:03,BRS,04S,1,($0.70),Y,BUSINESS,N,$1306.80
09/05/2023,09/04/2023,02214781099,GSP,TOLL,,-,-,21:57:45,BRN,04N,1,($0.70),Y,BUSINESS,N,$1307.50
09/04/2023,09/04/2023,02214781099,GSP,TOLL,,-,-,22:06:36,ASP,07N,1,($2.02),Y,BUSINESS,N,$1308.20
09/04/2023,09/04/2023,02214781095,GSP,TOLL,,-,-,20:00:03,BRS,04S,1,($0.70),Y,BUSINESS,N,$1310.22
09/04/2023,09/04/2023,02214781095,GSP,TOLL,,-,-,19:32:18,RAS,13S,1,($2.02),Y,BUSINESS,N,$1310.92
09/04/2023,09/04/2023,02212261422,GSP,TOLL,,-,-,18:54:58,ASP,11N,1,($2.02),Y,BUSINESS,N,$1312.94
09/04/2023,09/04/2023,02214781095,NJTP,TOLL,17:29:40,11 ,05E,17:40:33,13A,12X,1,($2.39),Y,BUSINESS,N,$1314.96
09/04/2023,09/04/2023,02212261422,GSP,TOLL,,-,-,18:43:38,LWN,02N,1,($0.70),Y,BUSINESS,N,$1317.35
09/04/2023,09/04/2023,02214781092,GSP,TOLL,,-,-,16:39:20,TRV,10S,1,($1.01),Y,BUSINESS,N,$1318.05
09/04/2023,09/04/2023,P46SKT-NJ,MTAB&T,TOLL,,-,-,00:54:27,VNB,007,-,($11.19),Y,BUSINESS,N,$1319.06
09/04/2023,09/03/2023,P46SKT-NJ,PANYNJ,TOLL,,-,-,22:49:46,HT ,08,-,($12.75),Y,BUSINESS,N,$1330.25
09/04/2023,09/03/2023,02214781096,PANYNJ,TOLL,,-,-,18:42:24,OBX,02,-,($14.75),Y,BUSINESS,N,$1343.00
09/04/2023,09/03/2023,02214781096,MTAB&T,TOLL,,-,-,19:05:38,VNB,015,-,($11.19),Y,BUSINESS,N,$1357.75
09/04/2023,09/04/2023,02212261422,GSP,TOLL,,-,-,06:50:48,BRS,01S,1,($0.70),Y,BUSINESS,N,$1368.94
09/04/2023,09/04/2023,02214781099,GSP,TOLL,,-,-,00:34:48,BRS,02S,1,($0.70),Y,BUSINESS,N,$1369.64
09/04/2023,09/04/2023,02214781099,GSP,TOLL,,-,-,00:09:22,RAS,14S,1,($2.02),Y,BUSINESS,N,$1370.34
09/04/2023,09/03/2023,02214781091,GSP,TOLL,,-,-,22:37:19,LWS,01S,1,($0.70),Y,BUSINESS,N,$1372.36
09/03/2023,09/03/2023,02214781091,GSP,TOLL,,-,-,20:02:25,ASP,12N,1,($2.02),Y,BUSINESS,N,$1373.06
09/03/2023,09/03/2023,02212261422,GSP,TOLL,,-,-,18:34:34,LWN,01N,1,($0.70),Y,BUSINESS,N,$1375.08
09/03/2023,08/07/2023,Z353593-NJ,GSP,TOLL,,-,-,19:56:31,RAS,13s,1,($2.02),Y,BUSINESS,N,$1375.78
09/03/2023,09/03/2023,02212261422,GSP,TOLL,,-,-,08:05:06,BRS,01S,1,($0.70),Y,BUSINESS,N,$1377.80
09/03/2023,09/02/2023,02214781096,MTAB&T,TOLL,,-,-,23:44:15,VNB,007,-,($11.19),Y,BUSINESS,N,$1378.50
09/03/2023,09/01/2023,G53RRF-NJ,GSP,TOLL,,-,-,00:58:38,RAS,12s,1,($2.02),Y,BUSINESS,N,$1389.69
09/03/2023,09/03/2023,02214781096,NJTP,TOLL,23:53:48,13 ,15E,00:07:46,9  ,12X,1,($4.20),Y,BUSINESS,N,$1391.71
09/03/2023,08/08/2023,G53RRF-NJ,NJTP,TOLL,,-,-,18:18:26,16W,06w,1,($5.21),Y,BUSINESS,M,$1395.91
09/03/2023,08/08/2023,G53RRF-NJ,GSP,TOLL,,-,-,17:24:17,BEN,04n,1,($0.70),Y,BUSINESS,N,$1401.12
09/03/2023,08/08/2023,Z353593-NJ,GSP,TOLL,,-,-,14:03:32,TRV,05n,1,($1.01),Y,BUSINESS,N,$1401.82
09/02/2023,08/08/2023,Z353593-NJ,NJTP,TOLL,,-,-,21:38:14,18W,09w,1,($5.14),Y,BUSINESS,M,$1402.83
09/02/2023,08/08/2023,Z353593-NJ,GSP,TOLL,,-,-,13:05:23,TRV,14s,1,($1.01),Y,BUSINESS,N,$1407.97
09/02/2023,09/02/2023,02214781096,MTAB&T,TOLL,,-,-,12:37:09,VNB,014,-,($11.19),Y,BUSINESS,N,$1408.98
09/02/2023,09/02/2023,02214781096,PANYNJ,TOLL,,-,-,12:29:06,GB ,04,-,($14.75),Y,BUSINESS,N,$1420.17
09/02/2023,09/01/2023,H21SHK-NJ,MTAB&T,TOLL,,-,-,01:42:55,RKB,001,-,($11.19),Y,BUSINESS,N,$1434.92
09/02/2023,08/29/2023,K13SFN-NJ,MTAB&T,TOLL,,-,-,23:44:00,VNB,002,-,($11.19),Y,BUSINESS,N,$1446.11
09/02/2023,08/29/2023,K13SFN-NJ,MTAB&T,TOLL,,-,-,22:00:01,VNB,021,-,($11.19),Y,BUSINESS,N,$1457.30
